"frequency","capture_date","species","animal_id","region","type","model","status","location"
"159.005",,"bighorn",,"Cathedral","VHF","VIT","on order","Cathedral"
"159.005",,"deer",,"Far North","GPS",,"on order","Mono-Walker"
"159.005",,"deer",,"RV","GPS",,"on order","RV"
"159.010",,"bighorn",,"Cathedral","VHF","VIT","on order","Cathedral"
"159.010",,"deer",,"Far North","GPS",,"on order","Mono-Walker"
"159.010","","deer","GDL029","GD","VHF/GPS","Various","AW","GD"
"159.010","","deer","RVD871","RV","VHF/GPS","Various","AW","RV"
"159.015","","deer","GDL083","GD","VHF/GPS","Various","AW","GD"
"159.015","3/26/2015 ","bighorn","S375","Northern","GPS","Vectronics Survey","AW","Cathedral"
"159.016","","deer","CDB049","CD","VHF/GPS","Various","AW","CD"
"159.016","10/28/2012","bighorn","S243","Central","VHF","ATS M2220B","AW","Wheeler Ridge"
"159.020","10/24/2015","bighorn","S270","Southern","VHF","ATS M2230B","AW","Mt. Williamson"
"159.021",,"deer",,"RV","GPS",,"on order","RV"
"159.021","10/21/2012","bighorn","S173","Southern","VHF","ATS M2220B","AW","Mt. Langley"
"159.021","10/26/2012","bighorn","S226","Southern","VHF","ATS M2220B","AW","Bubbs Creek"
"159.021","3/26/2015 ","bighorn","S367","Northern","VHF","ATS M2230B","AW","Cathedral"
"159.026",,"bighorn",,"Langley","VHF","Vectronics Proximity","on order","Langley"
"159.026",,"bighorn",,"Langley","VHF","VIT","on order","Langley"
"159.026",,"deer",,"Far North","GPS",,"on order","Mono-Walker"
"159.026","","deer","RVD918","RV","VHF/GPS","Various","AW","RV"
"159.026","10/30/2012","bighorn","S249","Southern","VHF","ATS M2220B","AW","Bubbs Creek"
"159.031","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"159.031","11/1/2009 ","bighorn","S180","Southern","VHF","ATS M2220B","AW","Mt. Baxter"
"159.031","3/27/2015 ","bighorn","S379","Kern","GPS","Vectronics Survey","AW","Laurel Creek"
"159.031","4/3/2015 0","bighorn","S219","Northern","VHF","ATS M2230B","AW","Mt. Gibbs"
"159.032","3/27/2013 ","bighorn","S242","Central","VHF","ATS M2220B","AW","Wheeler Ridge"
"159.035",,"Pronghorn",,"Bodie Hills","GPS","Tellus","OW","Bodie Hills"
"159.036","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"159.037",,"bobcat",,"RV-Big Pine","GPS",,"on order","RV-Big Pine"
"159.041","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"159.041","10/26/2012","bighorn","S165","Southern","VHF","ATS M2220B","AW","Sawmill Canyon"
"159.041","10/28/2012","bighorn","S239","Northern","VHF","ATS M2220B","AW","Mt. Warren"
"159.045",,"bobcat trap",,"South and Central","VHF","trap","OW","RV-Big Pine"
"159.046","7/30/2016","Bear","BB001","North","GPS","Iridium Vectronics","AW","Slinkard Vly"
"159.050",,"bighorn",,"Central","VHF","Vectronics Proximity","on order","Wheeler/Convict"
"159.050",,"bighorn",,"Central","VHF","VIT","on order","Wheeler/Convict"
"159.051","","deer","GDL006","GD","VHF/GPS","Various","AW","GD"
"159.051","4/3/2015 0","bighorn","S253","Northern","","Televilt Tellus Iridium1D","AWQ","Mt. Gibbs"
"159.055",,"bighorn",,"Central","VHF","Vectronics Proximity","on order","Wheeler/Convict"
"159.055",,"bighorn",,"Central","VHF","VIT","on order","Wheeler/Convict"
"159.056",,"deer",,"CD","GPS",,"on order","CD"
"159.056","","deer","GDL087","GD","VHF/GPS","Various","AW","GD"
"159.060","10/23/2015","bighorn","S401","Central","VHF","ATS M2230B","AW","Convict Creek"
"159.061","10/21/2014","bighorn","S319","Southern","GPS","Vectronics Survey","AW","Sawmill Canyon"
"159.061","3/27/2015 ","bighorn","S378","Kern","GPS","Vectronics Survey","AW","Laurel Creek"
"159.065",,"bobcat trap",,"South and Central","VHF","trap","OW","RV-Big Pine"
"159.066","3/26/2015 ","bighorn","S371","Northern","GPS","Vectronics Survey","AW","Cathedral"
"159.067",,"Elk",,"Big Pine","VHF",,"AW","Crater Mtn"
"159.067",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"159.070",,"bighorn",,"Central","VHF","Vectronics Proximity","on order","Wheeler/"
"159.070",,"bighorn",,"Central","VHF","VIT","on order","Wheeler/Convict"
"159.071","10/26/2012","bighorn","S192","Southern","VHF","ATS M2220B","AW","Bubbs Creek"
"159.071","10/28/2014","bighorn","S266","Southern","GPS","Vectronics Survey","AW","Mt. Langley"
"159.075","","deer","CDB047","CD","VHF/GPS","Various","AW","CD"
"159.075","","deer","GDL027","GD","VHF","ATS","NR","GD"
"159.078",,"bobcat",,"South and Central","GPS","Iridium ATS","OW","RV-Olancha"
"159.079",,"Elk",,"office","VHF",,"OW","office - N"
"159.080",,"bighorn",,"Cathedral","VHF","VIT","on order","Cathedral"
"159.080",,"deer",,"Far North","GPS",,"on order","Mono-Walker"
"159.080","","bighorn","","office","VHF","ATS","OW","office"
"159.080","","deer","RVD822","RV","VHF/GPS","Various","AW","RV"
